date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2022-05-13,US_NY_36107,0.0,1.0,,,11719.0,85.0,,
2022-05-13,US_NY_36109,0.0,0.0,,,21144.0,85.0,,
2022-05-13,US_NY_36111,0.0,1.0,,,33856.0,365.0,,
2022-05-13,US_NY_36113,0.0,0.0,,,14739.0,129.0,,
2022-05-13,US_NY_36115,0.0,0.0,,,12875.0,115.0,,
2022-05-13,US_NY_36117,0.0,0.0,,,18503.0,179.0,,
2022-05-13,US_NY_36119,0.0,0.0,,,264447.0,2720.0,,
2022-05-13,US_NY_36121,0.0,0.0,,,8692.0,84.0,,
2022-05-13,US_NY_36123,0.0,0.0,,,3704.0,40.0,,
2022-09-14,US_NY_NYC,2143.0,8.0,,,2843479.0,41772.0,,
2022-09-14,US_OH,0.0,0.0,1669.0,29289.0,3096557.0,39576.0,925655.0,10257157.0
2022-05-13,US_OH_39001,0.0,0.0,,,7022.0,148.0,,
2022-05-13,US_OH_39003,0.0,0.0,,,27636.0,478.0,,
2022-05-13,US_OH_39005,0.0,0.0,,,12109.0,218.0,,
2022-05-13,US_OH_39007,0.0,0.0,,,20537.0,431.0,,
2022-05-13,US_OH_39009,0.0,0.0,,,14852.0,142.0,,
2022-05-13,US_OH_39011,0.0,0.0,,,11642.0,189.0,,
2022-05-13,US_OH_39013,0.0,0.0,,,15805.0,309.0,,
2022-05-13,US_OH_39015,0.0,0.0,,,11248.0,180.0,,
2022-05-13,US_OH_39017,0.0,0.0,,,93927.0,1157.0,,
2022-05-13,US_OH_39019,0.0,0.0,,,5291.0,126.0,,
2022-05-13,US_OH_39021,0.0,0.0,,,8819.0,147.0,,
2022-05-13,US_OH_39023,0.0,0.0,,,35217.0,586.0,,
2022-05-13,US_OH_39025,0.0,0.0,,,51997.0,560.0,,
2022-05-13,US_OH_39027,0.0,0.0,,,10410.0,168.0,,
2022-05-13,US_OH_39029,0.0,0.0,,,24651.0,486.0,,
2022-05-13,US_OH_39031,0.0,0.0,,,8008.0,159.0,,
2022-05-13,US_OH_39033,0.0,0.0,,,11254.0,215.0,,
2022-05-13,US_OH_39035,0.0,0.0,,,276160.0,3794.0,,
2022-05-13,US_OH_39037,0.0,0.0,,,12442.0,239.0,,
2022-05-13,US_OH_39039,0.0,0.0,,,10275.0,165.0,,
2022-05-13,US_OH_39041,0.0,0.0,,,45538.0,272.0,,
2022-05-13,US_OH_39043,0.0,0.0,,,19730.0,267.0,,
2022-05-13,US_OH_39045,0.0,0.0,,,39082.0,430.0,,
2022-05-13,US_OH_39047,0.0,0.0,,,7846.0,121.0,,
2022-05-13,US_OH_39049,0.0,0.0,,,296037.0,2610.0,,
2022-05-13,US_OH_39051,0.0,0.0,,,10436.0,180.0,,
2022-05-13,US_OH_39053,0.0,0.0,,,7565.0,127.0,,
2022-05-13,US_OH_39055,0.0,0.0,,,16413.0,265.0,,
2022-05-13,US_OH_39057,0.0,0.0,,,38049.0,513.0,,
2022-05-13,US_OH_39059,0.0,0.0,,,10567.0,151.0,,
2022-05-13,US_OH_39061,0.0,0.0,,,191030.0,2069.0,,
2022-05-13,US_OH_39063,0.0,0.0,,,17253.0,277.0,,
2022-05-13,US_OH_39065,0.0,0.0,,,7138.0,158.0,,
2022-05-13,US_OH_39067,0.0,0.0,,,3263.0,74.0,,
2022-05-13,US_OH_39069,0.0,0.0,,,6485.0,106.0,,
2022-05-13,US_OH_39071,0.0,0.0,,,10675.0,184.0,,
2022-05-13,US_OH_39073,0.0,0.0,,,6731.0,123.0,,
2022-05-13,US_OH_39075,0.0,0.0,,,5135.0,182.0,,
2022-05-13,US_OH_39077,0.0,0.0,,,14626.0,222.0,,
2022-05-13,US_OH_39079,0.0,0.0,,,8988.0,141.0,,
2022-05-13,US_OH_39081,0.0,0.0,,,14900.0,322.0,,
2022-05-13,US_OH_39083,0.0,0.0,,,13325.0,228.0,,
2022-05-13,US_OH_39085,0.0,0.0,,,49961.0,737.0,,
2022-05-13,US_OH_39087,0.0,0.0,,,18071.0,256.0,,
2022-05-13,US_OH_39089,0.0,0.0,,,42276.0,475.0,,
2022-05-13,US_OH_39091,0.0,0.0,,,10333.0,173.0,,
2022-05-13,US_OH_39093,0.0,0.0,,,68382.0,981.0,,
2022-05-13,US_OH_39095,0.0,0.0,,,103434.0,1420.0,,
2022-05-13,US_OH_39097,0.0,0.0,,,9754.0,136.0,,
2022-05-13,US_OH_39099,0.0,0.0,,,54021.0,1089.0,,
2022-05-13,US_OH_39101,0.0,0.0,,,20070.0,268.0,,
2022-05-13,US_OH_39103,0.0,0.0,,,40840.0,507.0,,
2022-05-13,US_OH_39105,0.0,0.0,,,4686.0,88.0,,
2022-05-13,US_OH_39107,0.0,0.0,,,9715.0,144.0,,
2022-05-13,US_OH_39109,0.0,0.0,,,25909.0,483.0,,
2022-05-13,US_OH_39111,0.0,0.0,,,3499.0,82.0,,
2022-05-13,US_OH_39113,0.0,0.0,,,128090.0,2019.0,,
2022-05-13,US_OH_39115,0.0,0.0,,,3278.0,60.0,,
2022-05-13,US_OH_39117,0.0,0.0,,,7845.0,103.0,,
2022-05-13,US_OH_39119,0.0,0.0,,,25481.0,294.0,,
2022-05-13,US_OH_39121,0.0,0.0,,,3220.0,58.0,,
2022-05-13,US_OH_39123,0.0,0.0,,,8618.0,138.0,,
2022-05-13,US_OH_39125,0.0,0.0,,,4639.0,74.0,,
2022-05-13,US_OH_39127,0.0,0.0,,,8356.0,125.0,,
2022-05-13,US_OH_39129,0.0,0.0,,,17679.0,230.0,,
2022-05-13,US_OH_39131,0.0,0.0,,,7493.0,123.0,,
2022-05-13,US_OH_39133,0.0,0.0,,,35026.0,450.0,,
2022-05-13,US_OH_39135,0.0,0.0,,,9494.0,201.0,,
2022-05-13,US_OH_39137,0.0,0.0,,,8492.0,157.0,,
2022-05-13,US_OH_39139,0.0,0.0,,,31806.0,508.0,,
2022-05-13,US_OH_39141,0.0,0.0,,,19410.0,301.0,,
2022-05-13,US_OH_39143,0.0,0.0,,,14015.0,238.0,,
2022-05-13,US_OH_39145,0.0,0.0,,,20777.0,257.0,,
2022-05-13,US_OH_39147,0.0,0.0,,,12869.0,230.0,,
2022-05-13,US_OH_39149,0.0,0.0,,,11102.0,188.0,,
2022-05-13,US_OH_39151,0.0,0.0,,,80794.0,1718.0,,
2022-05-13,US_OH_39153,0.0,0.0,,,115094.0,1710.0,,
2022-05-13,US_OH_39155,0.0,0.0,,,42078.0,941.0,,
2022-05-13,US_OH_39157,0.0,0.0,,,20753.0,505.0,,
2022-05-13,US_OH_39159,0.0,0.0,,,15952.0,102.0,,
2022-05-13,US_OH_39161,0.0,0.0,,,6755.0,148.0,,
2022-05-13,US_OH_39163,0.0,0.0,,,2918.0,55.0,,
2022-05-13,US_OH_39165,0.0,0.0,,,58538.0,584.0,,
2022-05-13,US_OH_39167,0.0,0.0,,,12409.0,207.0,,
2022-05-13,US_OH_39169,0.0,0.0,,,23392.0,439.0,,
2022-05-13,US_OH_39171,0.0,0.0,,,9090.0,164.0,,
2022-05-13,US_OH_39173,0.0,0.0,,,32072.0,355.0,,
2022-05-13,US_OH_39175,0.0,0.0,,,5441.0,105.0,,
2022-09-14,US_OK,0.0,0.0,553.0,461.0,1186780.0,14765.0,412177.0,3575297.0
2022-05-13,US_OK_40001,0.0,0.0,,,8001.0,75.0,,
2022-05-13,US_OK_40003,0.0,0.0,,,1716.0,15.0,,
2022-05-13,US_OK_40005,0.0,0.0,,,3911.0,54.0,,
2022-05-13,US_OK_40007,0.0,0.0,,,969.0,11.0,,
2022-05-13,US_OK_40009,0.0,0.0,,,5983.0,106.0,,
2022-05-13,US_OK_40011,0.0,0.0,,,2461.0,43.0,,
2022-05-13,US_OK_40013,0.0,0.0,,,13672.0,136.0,,
2022-05-13,US_OK_40015,0.0,0.0,,,8278.0,171.0,,
2022-05-13,US_OK_40017,0.0,0.0,,,39889.0,390.0,,
2022-05-13,US_OK_40019,0.0,0.0,,,14366.0,239.0,,
2022-05-13,US_OK_40021,0.0,0.0,,,14532.0,151.0,,
2022-05-13,US_OK_40023,0.0,0.0,,,4056.0,64.0,,
2022-05-13,US_OK_40025,0.0,0.0,,,566.0,7.0,,
2022-05-13,US_OK_40027,0.0,0.0,,,79713.0,822.0,,
2022-05-13,US_OK_40029,0.0,0.0,,,1672.0,24.0,,
2022-05-13,US_OK_40031,0.0,0.0,,,33173.0,397.0,,
2022-05-13,US_OK_40033,0.0,0.0,,,1464.0,29.0,,
2022-05-13,US_OK_40035,0.0,0.0,,,4785.0,55.0,,
2022-05-13,US_OK_40037,0.0,0.0,,,18245.0,338.0,,
2022-05-13,US_OK_40039,0.0,0.0,,,7935.0,169.0,,
2022-05-13,US_OK_40041,0.0,0.0,,,11098.0,203.0,,
2022-05-13,US_OK_40043,0.0,0.0,,,1064.0,32.0,,
2022-05-13,US_OK_40045,0.0,0.0,,,774.0,8.0,,
2022-05-13,US_OK_40047,0.0,0.0,,,15233.0,295.0,,
2022-05-13,US_OK_40049,0.0,0.0,,,7068.0,148.0,,
2022-05-13,US_OK_40051,0.0,0.0,,,13773.0,246.0,,
2022-05-13,US_OK_40053,0.0,0.0,,,1036.0,16.0,,
2022-05-13,US_OK_40055,0.0,0.0,,,1296.0,37.0,,
2022-05-13,US_OK_40057,0.0,0.0,,,522.0,12.0,,
2022-05-13,US_OK_40059,0.0,0.0,,,714.0,12.0,,
2022-05-13,US_OK_40061,0.0,0.0,,,2796.0,41.0,,
2022-05-13,US_OK_40063,0.0,0.0,,,2586.0,62.0,,
2022-05-13,US_OK_40065,0.0,0.0,,,6575.0,108.0,,
2022-05-13,US_OK_40067,0.0,0.0,,,1339.0,27.0,,
2022-05-13,US_OK_40069,0.0,0.0,,,3041.0,54.0,,
2022-05-13,US_OK_40071,0.0,0.0,,,12327.0,216.0,,
2022-05-13,US_OK_40073,0.0,0.0,,,4178.0,71.0,,
2022-05-13,US_OK_40075,0.0,0.0,,,1965.0,52.0,,
2022-05-13,US_OK_40077,0.0,0.0,,,2273.0,35.0,,
2022-05-13,US_OK_40079,0.0,0.0,,,12521.0,107.0,,
2022-05-13,US_OK_40081,0.0,0.0,,,7897.0,140.0,,
2022-05-13,US_OK_40083,0.0,0.0,,,10911.0,160.0,,
2022-05-13,US_OK_40085,0.0,0.0,,,3109.0,39.0,,
2022-05-13,US_OK_40087,0.0,0.0,,,11773.0,137.0,,
2022-05-13,US_OK_40089,0.0,0.0,,,8117.0,166.0,,
2022-05-13,US_OK_40091,0.0,0.0,,,4864.0,124.0,,
2022-05-13,US_OK_40093,0.0,0.0,,,2461.0,41.0,,
2022-05-13,US_OK_40095,0.0,0.0,,,4603.0,46.0,,
2022-05-13,US_OK_40097,0.0,0.0,,,10399.0,163.0,,
2022-05-13,US_OK_40099,0.0,0.0,,,4165.0,77.0,,
2022-05-13,US_OK_40101,0.0,0.0,,,19987.0,348.0,,
2022-05-13,US_OK_40103,0.0,0.0,,,3050.0,39.0,,
2022-05-13,US_OK_40105,0.0,0.0,,,2785.0,40.0,,
2022-05-13,US_OK_40107,0.0,0.0,,,3533.0,62.0,,
2022-05-13,US_OK_40109,0.0,0.0,,,199990.0,2467.0,,
2022-05-13,US_OK_40111,0.0,0.0,,,9686.0,188.0,,
2022-05-13,US_OK_40113,0.0,0.0,,,10965.0,167.0,,
2022-05-13,US_OK_40115,0.0,0.0,,,9204.0,127.0,,
2022-05-13,US_OK_40117,0.0,0.0,,,4121.0,85.0,,
2022-05-13,US_OK_40119,0.0,0.0,,,18463.0,166.0,,
2022-05-13,US_OK_40121,0.0,0.0,,,10780.0,211.0,,
2022-05-13,US_OK_40123,0.0,0.0,,,12132.0,150.0,,
2022-05-13,US_OK_40125,0.0,0.0,,,20703.0,284.0,,
2022-05-13,US_OK_40127,0.0,0.0,,,2677.0,45.0,,
2022-05-13,US_OK_40129,0.0,0.0,,,892.0,16.0,,
2022-05-13,US_OK_40131,0.0,0.0,,,25476.0,389.0,,
2022-05-13,US_OK_40133,0.0,0.0,,,6142.0,135.0,,
2022-05-13,US_OK_40135,0.0,0.0,,,10639.0,106.0,,
2022-05-13,US_OK_40137,0.0,0.0,,,11374.0,205.0,,
2022-05-13,US_OK_40139,0.0,0.0,,,5996.0,54.0,,
2022-05-13,US_OK_40141,0.0,0.0,,,1532.0,35.0,,
2022-05-13,US_OK_40143,0.0,0.0,,,172585.0,2183.0,,
2022-05-13,US_OK_40145,0.0,0.0,,,21915.0,277.0,,
2022-05-13,US_OK_40147,0.0,0.0,,,12718.0,262.0,,
2022-05-13,US_OK_40149,0.0,0.0,,,2639.0,54.0,,
2022-05-13,US_OK_40151,0.0,0.0,,,2352.0,38.0,,
2022-05-13,US_OK_40153,0.0,0.0,,,5172.0,76.0,,
2022-09-14,US_OR,666.0,11.0,0.0,0.0,885963.0,8492.0,5870.0,3850973.0
2022-05-13,US_OR_41001,1.0,0.0,,,3231.0,48.0,,
2022-05-13,US_OR_41003,67.0,0.0,,,16301.0,71.0,,
2022-05-13,US_OR_41005,202.0,0.0,,,63827.0,632.0,,
2022-05-13,US_OR_41007,11.0,0.0,,,4810.0,50.0,,
2022-05-13,US_OR_41009,20.0,0.0,,,7987.0,95.0,,
2022-05-13,US_OR_41011,12.0,0.0,,,10849.0,153.0,,
2022-05-13,US_OR_41013,5.0,0.0,,,6158.0,79.0,,
2022-05-13,US_OR_41015,0.0,0.0,,,3385.0,54.0,,
2022-05-13,US_OR_41017,99.0,0.0,,,47906.0,286.0,,
2022-05-13,US_OR_41019,29.0,0.0,,,20020.0,396.0,,
2022-05-13,US_OR_41021,0.0,0.0,,,284.0,5.0,,
2022-05-13,US_OR_41023,0.0,0.0,,,1704.0,21.0,,
2022-05-13,US_OR_41025,2.0,0.0,,,1617.0,38.0,,
2022-05-13,US_OR_41027,15.0,1.0,,,3698.0,44.0,,
2022-05-13,US_OR_41029,36.0,1.0,,,43552.0,535.0,,
2022-05-13,US_OR_41031,4.0,0.0,,,7319.0,92.0,,
2022-05-13,US_OR_41033,14.0,0.0,,,16627.0,339.0,,
2022-05-13,US_OR_41035,2.0,0.0,,,14285.0,222.0,,
2022-05-13,US_OR_41037,1.0,0.0,,,1429.0,29.0,,
2022-05-13,US_OR_41039,162.0,1.0,,,59853.0,541.0,,
2022-05-13,US_OR_41041,12.0,0.0,,,7223.0,85.0,,
2022-05-13,US_OR_41043,38.0,0.0,,,27257.0,268.0,,
2022-05-13,US_OR_41045,0.0,0.0,,,8251.0,108.0,,
2022-05-13,US_OR_41047,88.0,0.0,,,70744.0,721.0,,
2022-05-13,US_OR_41049,0.0,0.0,,,2980.0,34.0,,
2022-05-13,US_OR_41051,458.0,1.0,,,123906.0,1207.0,,
2022-05-13,US_OR_41053,29.0,0.0,,,15778.0,134.0,,
2022-05-13,US_OR_41055,0.0,0.0,,,321.0,6.0,,
2022-05-13,US_OR_41057,8.0,0.0,,,3827.0,64.0,,
2022-05-13,US_OR_41059,13.0,0.0,,,22545.0,225.0,,
2022-05-13,US_OR_41061,5.0,0.0,,,5068.0,80.0,,
2022-05-13,US_OR_41063,0.0,0.0,,,1267.0,16.0,,
2022-05-13,US_OR_41065,6.0,0.0,,,5218.0,63.0,,
2022-05-13,US_OR_41067,284.0,0.0,,,91092.0,594.0,,
2022-05-13,US_OR_41069,0.0,0.0,,,246.0,3.0,,
2022-05-13,US_OR_41071,21.0,0.0,,,18265.0,222.0,,
2022-09-14,US_PA,17506.0,139.0,2538.0,52432.0,3220994.0,46970.0,861756.0,10681716.0
